country,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Lebanon,68500,75247,60000,59500,55000,69992,67690,47673,32956,43005,40971,63686,55138,75560,65000,40000,50000,45000,40000,20000,22000,23000,20000,18000,22500,30000,49218,51490,56438,52000,58594,61580,55000,52675,60005,58342,58394,80600,73000,108100,139500,119000,116300,136800,143700,153400,116200,143700,111400,83000,125000,150000,140000,140000,139000,129037,125797,130000,140000,100000,100000
Lesotho,57540,55000,55000,54000,50000,58000,50000,53780,59696,57552,57903,24000,36000,57000,45337,44640,61381,57906,33629,28194,16993,14462,14810,17127,18434,11009,18547,19237,29698,33162,6844,11854,8127,11955,10603,31300,33722,29641,15426,15545,50755,26250,21805,16216,13797,6085,3956,3720,7420,20119,20065,10516,13472,12592,7069,4690,8851,6975,1432,2004,6000
Libya,29992,33600,34100,28000,56913,57788,62221,52041,78421,27189,17726,41585,67327,38682,75134,133101,48117,99295,110000,140500,123110,188000,209737,183634,149000,190000,172000,161011,185000,128760,130000,125000,126000,120000,117000,124000,156400,140000,130000,125000,125000,125000,125000,125000,125000,104000,104000,104000,105000,132239.07,166000,200000,200000,200000,160000,200000,140000,200000,140000,130000,130000
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833800,890600,549400,637300,936200,1127400,1031000,870900,1237600,1076300,1217600,1204100,1430200,1379400,809800,1390700,1722500,2100200,1710400,1869300,2998900,2871300,3230600,4380330,3844491,3917372,2838900,3843850,4818750,4248850
Madagascar,,,,,,,,,,,,,,,,260,483,420,147,323,300,300,300,300,300,563,337,1000,3000,5000,9000,10000,8000,4000,14000,4000,5000,10000,10000,9000,10000,10000,8814.95,8833.07,10059.62,10000,11000,10000,8812.94,8694.39,10000,10000,5000,5000,5000,5000,5000,5000,5000,1000,2000
Malawi,150,150,178,300,500,611,764,630,665,1814,665,855,605,544,635,919,407,500,500,500,688,700,700,1644,787,1287,1669,1869,1481,1639,877,613,1014,208,1572,2315,1339,1842,1655,1815,2241,1520,1502,1668,1730,1999,4605,2386,2590,2341,1850,1956,1784,1160,1178,797,745,729,566,697,1000
Mali,3750,3500,3000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1500,1500,1500,1444,1013,1425,1115,1710,2066,2540,1256,2210,2650,6150,3159,2720,6680,7585,6208,9353,6545,5701,8942,4805,8565,8585,13166,15132,10051,33842,40071,27430,45668,35756,40137,28015,29185,8226,37124,21000
Malta,2844,2844,2953,2770,2540,2337,2217,1352,1750,1847,2383,2390,2098,1780,2337,3106,3454,2983,3345,4352,4845,7814,7738,5000,5000,5000,4800,4700,4875,4900,5100,5500,5800,6000,6300,4200,9036,9000,8889.97,9556,9600,10000,9600,9951.94,10233.29,10500,12000,14500,13800,13038.07,12468.12,12172.61,11864.98,11543.04,10000,10595.53,12412.68,0,0,0,0
Mauritania,100,100,95,90,100,200,230,230,240,240,200,200,150,150,150,250,300,180,200,210,300,310,320,500,500,500,520,530,540,560,600,580,400,304.24,342.25,369.84,400,467.46,484.37,495.96,482.18,500,600,797,500,574,2000,4000,3414,2413,2888,6092,6684,7059,7050,7720,7577.16,7438.84,7351.39,7257.05,7000
Mexico,1401909,1455256,1702989,2203066,2150354,1647368,2122389,2080725,2326055,2676451,1830845,1809018,2090845,2788677,2798219,3363299,2455774,2784660,2286525,2784914,3193234,4391421,3463296,4505245,5214315,4769411,4415391,3665126,4374739,3930934,4060738,3620503,3582450,4150920,3468220,3375008,3656594,3235080,3020889,3493210,3275460,3236183,2715800,2321200,3015177,3378116,3515392,4019400,4116161,3676707,3627511,3274337,3357307,3669813.71,3710706.27,3862914.27,3503521,2943445.12,3244062.03,2986689.24,3283613.73
Mongolia,98400,288400,291000,335200,291000,227000,289000,188000,114000,250200,316400,169700,339600,250200,365700,280000,318000,279000,240000,229800,295500,440100,647600,460400,688500,663700,543332,672187,686900,596200,538200,453200,450200,321900,256700,215282,237700,191836,166700,138722,138700,123064,160362,135622,73419,127757,109560,209830,388122,345458,435889,465294,368379,494540,206508,467052.79,231364.35,436114.89,411414.78,406129.13,566273.03
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,752,1096,1155,946,1614,1444,2300.9,2159,2111,2353.8,2462.5,2466.9,2147,2239,2391.58
Morocco,720000,1500000,1440000,1440000,1580000,1150000,1506500,2550000,1469000,1800500,2188100,2160770,1574000,1853000,1574820,2188940,1287600,1876450,1796000,1811000,892000,2183400,1970200,1989480,2358000,3809100,2427360,4019340,3926960,3613890,4938920,1562160,1573020,5523210,1090710,5915790,2316490,4378480,2153540,1380700,3316380,3358680,5146840,5539840,3043080,6326760,1582630,3769450,6371430,4876140,6017821,3878000,6933982.62,5115884.22,8074658.89,2731123,7090817,7320620.11,4025302.52,2561897.5,7543847.9
Mozambique,8800,6000,14000,8000,10000,11000,8624,9202,5200,9202,13600,9000,8000,6000,3000,3000,2000,3000,2523,3000,10000,8000,6000,6000,5000,5000,3000,5000,5000,6862,3000,2000,1721.14,1481.67,1349.22,1290.74,1066.48,1210.58,1429.09,1500,2000,2700,3800,5000,6200,8400,10000,12500,15000,17870,20350,17653,19800,20710,20280,17088,17100,17000,18000,15000,15000
Myanmar,7436,14811,32435,54168,71773,96277,66790,51149,25846,33420,40099,26904,26695,24654,63570,56556,76393,93692,41640,90852,116763,123913,130041,213557,206272,189934,191755,156866,130138,124167,141100,136400,106900,87700,76700,85400,90700,92000,115300,92100,94400,105700,122400,150000,156200,140200,155300,170400,179200,181000,169800,177600,182900,182400,179300,102636,123251.86,115995.52,110663,105457,100000
Namibia,592,482,600,600,700,600,600,600,700,700,700,700,700,800,800,800,800,800,1000,1500,2000,2500,3000,3500,4000,5922,4960,4609,4380,4425,5900,3116,5700,6300,6400,5700,5721,5274,3644,3429,6119,10489,10289,8262,11015,12858,12163,14581,12448,13397.33,16300,14500,15000,10000,10147.71,9822,6094,6094,6100,12000,18337
Nepal,135000,138000,137578,138500,126000,147000,159000,204957,232780,264670,193360,223194,312494,308389,330815,387007,361853,411270,415230,439990,477190,525930,656630,633700,533720,598000,701040,744600,830050,854960,835970,761960,765000,898892,914000,1012930,1072000,1000770,1086480,1183530,1157865,1258045,1344192,1387191,1442442,1394126,1515139,1572065,1343862,1556539,1745811,1846142,1727346,1883147,1975625,1736848.58,1879191.46,1949001,2005665,2185289,2127276
Netherlands,482130,603062,530320,712060,704000,598000,738587,678971,677181,643219,705799,673482,724577,745883,527793,709585,661173,792250,835600,882174,882055,967300,1042914,1131329,851034,940129,768850,827139,1046770,1076000,944146,1016791,1035000,981000,1167000,1268900,1063000,1072000,851400,1142700,990700,1056640,1130100,1223900,1174686,1184400,1018000,1366162,1402040,1369553,1175275,1302002,1335105,1304054,1300085,1016479,1054151,961920,1130530,931830,947250
New Caledonia,100,100,100,100,100,100,150,86,87,100,20,50,67,65,72,50,54,60,70,250,260,580,381,244,367,572,240,66,226,150,308,223,96,137,97,102,51,79,7,0,37,0,19,45,36,0,0,0,0,0,0,20,41,0,6.58,8.48,14.26,4.4,109,53.6,84.5
New Zealand,253349,213233,249188,273990,250320,291778,347760,442334,458642,287212,325646,388663,376111,214582,179874,388178,354035,328756,295028,305768,325723,292052,300825,314556,309591,379700,336823,205984,134994,188042,180690,191039,219414,241853,245173,277014,317000,302100,320000,326000,364000,301499,318916,255860,318947,261798,344434,343350,403463,444890,383262,488614,447799,413497,413533,459349,405182.3,371026.79,398092,453749,422831
Niger,1000,1126,817,930,507,681,372,400,213,390,290,370,772,1650,1800,1000,1900,2062,980,1000,1700,2200,2500,8330,6900,8000,6000,2000,2400,13000,10400,8400,4400,7200,3100,1700,600,12500,12669,10946,6300,3500,3500,6239.06,9000,7796,7000,8775,6179.58,5165.27,1291,3114,5666,1802,8090,8234.18,6003.39,4807.08,4919.88,4275.56,4628.94
Nigeria,16000,16000,16000,20000,20000,20000,21000,20000,20000,19000,20000,20000,15000,18000,18000,18000,20000,20000,22000,24000,26000,26000,26000,27000,113000,132000,139000,50000,60000,50000,60000,40000,32600,35200,43600,47000,66000,98000,101000,73000,51000,54000,58000,62000,66000,71000,44000,53000,80000,110440.62,165000,100000,80000,91300,60000,60000,82758,88362,86900,55000,90000
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299522,249789,336133,381226,269303,293762,336562,319419,299356,246000,267170,225490,356825,333888,293326,218100,291719,271117,243137,256103,214963,258960,287954,201218,306433,200112,241106,239916,246031,243676
Norway,27400,20000,17700,20200,11800,4145,10583,16365,11111,11601,10431,11596,19833,62095,51819,65268,77998,79806,67001,65000,57700,75500,96800,170400,169900,158500,249000,148300,139600,223606,246300,192500,360300,195100,312200,266300,255500,323400,229700,313400,259100,261500,349500,406800,395400,357000,401100,453300,278000,331400,284600,274700,213000,389600,495200,309400,400500,137700,450100,322500,266600
Oman,1400,1400,1500,1500,1500,1700,1700,1850,1850,2000,2000,2000,3000,3000,3000,2000,500,275,150,359,359,1141,1141,1141,251,289,369,700,900,1190,1200,1250,1300,1325,1350,1380,1250,770,1050,1413,1429,1421,1210,1200,865,775,947,1070,1874,2286,2126,2000,1095,3403,2525,3980,3980,3579,3615,2865,3542
Pakistan,3814000,4026000,4170000,4162000,4590000,3916000,4334000,6418000,6618000,7294000,6475693,6890851,7442570,7628503,7673440,8690713,9143873,8367200,9950000,10856500,11474600,11304200,12414400,10881900,11703000,13923000,12015900,12675100,14419200,14315500,14565000,15684200,16156500,15213000,17002400,16907400,16650500,18694000,17857600,21078600,19023700,18226500,19183300,19499800,21612300,21276900,23294600,20958800,24033000,23310800,25213800,23473400,24211360,25979399,25086174,25633028,26673703,25076149,24348983,25247511,27464081
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,18241,40732,30872,28310,36523,11052,53422,24983,54308,44947,46340,44720,39430,39799,31826,30000,17380,17840,26670,41720,41720,26320,37030,34559.88,34184.67,34380.16,34388.31,34396.47
Paraguay,7200,7000,8800,7000,7200,9160,25100,32000,31376,33000,54800,17600,23000,35245,17872,29251,28261,37801,58253,83679,98895,139071,102138,120764,201090,241543,270528,452006,372916,259337,240538,259337,425421,375679,208617,543435,400189,229173,180088,231119,532155,536754,715000,715000,800000,620000,800000,799632,1066800,1401987,1463881,1560600,1430000,840000,1139147,1144000,1020000,722400,1358000,1302870,927776
Peru,153595,152666,155500,143150,146720,145002,152180,112912,136703,125374,122225,120080,122635,127364,126324,127497,115385,104401,102060,77148,116678,102711,83720,87442,92303,121143,130690,152804,159305,88487,87275,93787,125595,127035,125048,146152,123689,146640,169613,187746,181805,186853,190453,170411,178460,191082,181552,206936,226265,219454,214140,226218.46,230105,218904,214849,188468.76,192099,195245.82,188468.76,186835,202725
Poland,2792000,2700000,3067000,3042000,3338000,3556100,3857600,4567000,4709700,4607800,5455700,5146800,5806500,6408400,5206500,5744775,5308265,6029398,4187394,4175486,4203256,4475712,5165083,6010201,6460793,7501702,7941554,7582141,8461619,9025756,9269974,7368097,8242694,7658457,8668035,8575954,8192681,9536576,9051339,8502865,9283044,9304000,7858160,9892482,8771434,7059671,8317265,9274920,9789586,9408110,9339200,8607600,9485183,11628670,10957787,10827902,11665702,9637620,10807490,12515060,11893550
Portugal,429643,645000,591964,471856,612300,323549,651300,762911,470099,564098,808510,620975,533200,546295,610815,694137,229477,254700,252160,432775,318631,427530,329411,467860,397267,501894,534224,405818,618000,297691,618697,361963,421838,462536,359849,405826,329271,150938,352148,354710,153604,413031,149569,292866,81530,249580,102258,203289,124146,82577,51003,58990,92014,98794,80393,90017,59610,70110,77070,83500,69440
Qatar,,,,,,,,,,,14,15,17,20,16,28,54,105,120,127,130,255,158,173,140,130,206,163,105,637,242,157,201,143,147,135,150,140,83,83,28,25,28,22,21,20,32,30,49,36,26,48,86,5,0,6.2,16,15,1.4,2.3,252
Republic of Korea,172000,164000,139000,190000,184000,193000,191000,211345,224023,218633,196465,148997,99746,74198,96933,81621,44661,35705,41980,91957,57128,65812,111637,17237,10517,4545,3734,2473,1121,889,551,552,1483,2156,10262,10923,7433,4781,5626,2339,2841,5834,10011,12623,7678,5810,7351,10359,18782,39116,43677,37014,19061,23409,26433,38705,37425,25788,15024,16985,30000
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925764,1392610,658780,1277501,784160,1345131,952990,800425,727721,1185210,1116180,520518.18,861030,1056690,691417,406484,1286332,736660,744160,794783,495231,1008647,1101682,922283,1292921,1250702,1162778,1147482,569735,1565200
Romania,3990300,4053800,3798800,3823700,5937000,5064700,5819600,4847900,4348787,3356000,5595400,6040800,5489500,5006700,4860190,6724200,6435000,6102000,4569000,6264000,5281000,6122000,4935000,7388000,5532000,6278000,6632000,8528000,7840000,7289344,5473156,3206382,5314104,6135299,7666538,3143818,7156188,5181823,4661439,4434438,7735136,4420995,2479052,7812428,7340664,5526190,3044465,7180984,5202526,5811810,7131590,5297748,7296373,7584814,7962421,8431131,10034955,10143670,10297110,6392370,10433750
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46166670,43546550,32128210,30118470,34831232,44235132,26994700,30996953,34460052,46996294,50622106,34069788,45433661,47614681,44926880,49367973,63765140,61739751,41507581,56239994,37719640,52090797,59711381.9,61785799.2,73345679,86002542,72136149,74452692,85896325.7,76057258
Rwanda,1200,1385,1744,321,480,100,300,621,810,1251,1235,2298,2380,2793,2303,3008,3692,3657,2976,2175,1042,2370,3300,3070,5000,5504,6740,8100,10400,11000,14800,12600,4800,3200,6000,6814,5997,4140,3607,6444,8269,7434,15305,16772,21942,19549,24633,6700,7200,8500,9000,15000,7800,7886,7995,9923,10926.27,13475.16,15686.27,12811.42,13684
Saudi Arabia,125000,108000,135000,130000,147900,148750,118149,125000,130000,130000,41908,38954,63719,153385,132038,92540,124610,119928,150426,141732,187231,416735,817497,1401644,2134930,2289995,2648773,3267391,3452427,3580344,4035498,4123660,3429980,2646023,1647956,1200000,1794900,1734000,2046000,1787542,2081870,2436443,2524278,2775678,2648472,2630394,2558000,1985556,1152447,1349389,1184454,854256,660145,718530,693776,618653,620923,586413,500175,554562,612582
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875335,1863811,2095400,2067555,1630404,2076237,2399224.56,2690266,2387202.3,2428203,2884537,2275622.58,2941601,2534643.11,2873503.49,3442308
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101000,3048749,3249200,2949000,1507100,2920000,2967000,2035000,1927200,2534200,2245200,1396100,2761200,2009690,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528513,2144626,1937937,1713061,1885961,1789299,1187264,1254310,1800086,1554425,930363,1764846,1607868,1342693,1379643,1819479,1537905,1185286,1631112,1275302,1684274,2072405.3,2082134,2434213,1770659,1927930,1939130,2133330,2002240
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152705,142856,155343,155575,137120,138930,169097,117251,162559,181083,174868,122920,146829,141293,134449,133339,160297,136904,153481,153575,188065,138235,173245,157058,163165,140961,121900,139810,158180,154450
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1370,1370,1400,925,660,862.89,925,999.38,919.89,920.07,920.28,900,938.29,960,950,957.38,964.49,1000,1200,960,970,1000,950,997.89,1005.5,1000,1000,1019.98,1031.36,1038.68,1044.66,1046.65,1043.45,1047.14,1050.82
South Africa,871000,705000,880000,1060000,656000,548000,1077000,1247000,1316000,1396000,1670000,1746000,1871000,1596000,1792000,2248000,1879000,1692000,2087000,1472000,2356000,2444000,1784000,2346000,1693000,2333000,3154000,3620000,2010000,1709000,2142000,1324000,1983770,1840380,1977254,2711991,2428840,1892080,1733030,2428100,2503950,2437745,1546840,1687000,1905000,2105000,1905000,2130000,1958000,1430000,2005000,1915000,1870000,1750000,1440000,1910000,1535000,1868000,1535000,2120000,2257205
Spain,3438000,4819545,4865360,3981000,4719000,4881000,5654000,5315000,4626000,4062000,5449700,4562500,3967300,4534600,4302900,4436200,4064100,4806100,4082300,6039500,3408500,4410300,4267900,6052300,5328688,4392000,5791000,6514100,5468200,4773500,5467700,4357506,4972971,4302340,3138700,6040500,4676290,5436300,5083800,7293623,5007698,6822160,6290100,7096724,4026694,5521582,6436359,6714300,4804772,5941197,6876657,5189828,7744900,6471400,6362694,7873135,4875957,8322510,6041170,8143510,8564630
Sudan,26400,28500,30940,36765,56008,68976,78446,87535,123200,115300,163000,124000,152000,235000,269000,263000,289000,312000,165000,231000,218000,142000,176000,157000,79000,199000,157000,181000,247000,409000,686000,838000,453000,475000,448000,527000,642000,585000,172000,214000,303000,247000,332000,435000,416000,669000,803000,587000,641695,403000,292000,324000,265000,473000,778600,516000,463000,702000,726000,717578,600000
Sweden,839170,906330,695500,1064510,1038000,591030,1130330,1073550,916530,962130,994930,1130090,1311930,1793100,1454630,1764640,1522330,1290060,1003050,1193320,1066310,1490410,1721250,1775700,1338000,1730510,1557800,1295500,1750800,2242900,1480900,1406300,1746200,1344700,1553800,2030000,2056200,2248700,1658900,2371900,2371500,2088100,2256200,2412300,2246800,1967400,2255700,2202200,2277900,2143000,2253100,2289300,1868600,3086400,3300400,2834500,3298600,1620300,3476800,3214300,3027800
Switzerland,316000,419800,302700,388400,352400,347700,425600,416100,378900,347800,378000,409700,345100,411400,355500,399600,323300,407800,422800,394400,408600,434200,445600,596800,549300,491700,461500,564500,649000,562600,583651,535209,573811,567322,613368,666291,584588,603242,495094,568700,505600,516500,436900,539400,531300,543800,543900,549084,549919,524017,553150,515595,479659,550826,527257,386720,530552,511446,497459,528720,401202
Syrian Arab Republic,757000,1374175,1189585,1100000,1044000,559000,1049000,600000,1003517,624562,846276,1808000,593462,1629896,1550061,1790109,1217214,1650696,1319959,2225800,2086953,1556441,1611988,1067600,1713866,1969000,1656350,2067138,1020000,2070000,2140000,3046000,3626491,3702985,4184144,4080357,3031090,4111625,2691504,3105489,4744623,4775440,4912993,4537459,4668750,4932000,4041100,2139300,3701784,3083100,3858331,3609096,3182111,2024332.33,2677156,1626588,1850740.18,1222987.62,3085097,2848471.85,1951805.93
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166400,170600,149000,170000,239000,452209,388149,365136,406196,387314,544565,660222,631328,618467,640339,649300,659096,1088591,1033144,726880,812588,947350,868368,896362,917081.4,899653,778986.3,836884,846000,852000
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,210,400,330,354,458,419,651,740,700,639,710,750,827.25,791.74,800,701.02,821.46,883,911.05,952.21,1000,1013.61,1045.22,1063.01,1107.41,1115.48,1000,1500,1312.77,1265.48,1303.89,1350.35,1306.58,1320.27,1325.73,1317.53
Tunisia,465000,640000,800000,690000,800000,650000,550000,600000,480000,519000,660000,965000,890000,857000,935000,810000,750000,750000,680000,869000,963000,916000,618000,711330,1380000,630000,1359900,360000,420000,1122000,1786100,1584100,1412600,502600,530800,2017650,884900,1353520,1390000,842000,1118000,422200,1984000,1722000,1626700,1250600,1442800,919000,1653600,822000,1605500,1523300,975490,1513000,912570,926592,1104300,1075400,1455000,1042000,1193000
Tï¿½rkiye,7135000,8580000,10137000,8440000,8630000,9715000,10110000,9603000,10593000,10081000,13594000,12275000,10080000,11080000,14830000,16577500,16720000,16764000,17569008,16554000,17050000,17542000,16437000,17235008,17032000,19032000,18932000,20523008,16221000,20022000,20400000,19300000,21000000,17500000,18000000,18500000,18650000,21000000,18000000,21000000,19000000,19500000,19000000,21000000,21500000,20010000,17234000,17782000,20600000,19674000,21800000,20100000,22050000,19000000,22600000,20600000,21500000,20000000,19000000,20500000,17650000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377000,509000,675000,695000,453100,706900,1245200,1505800,1690000,1760000,2326000,2487000,2600000,2834000,3260000,1082770,996160,1405600,1476620,1168220,1200000,1370000,1200000,1406000,1600000,1000000,1000000,1654024,1480733,1367092.11
Uganda,,,,,,885,1329,5000,5000,7920,7000,6900,6900,8000,14000,12000,13000,13900,5000,17000,8000,10000,12000,7000,8000,8333,10000,13000,10761,4000,9000,8800,9000,9000,9000,9000,9000,9000,11000,12000,14000,14000,15000,15000,15000,18000,19000,19000,20000,20000,23000,20000,20000,22076,22078,22100,22100,23206,24000,25000,25000
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19507424,21831008,13856600,16273300,13547100,18403900,14936600,13585300,10197000,21348000,20556000,11430883.59,17520200,18699200,13947300,13937700,25885400,20886400,16851300,22323600,15762600,22279300,24113970,26532100,26098830,26208980,24652840,28370280,24912350,32183300
United Arab Emirates,,,,,,,,,,,,,,,,,14,242,785,906,757,1780,1276,1536,1300,1175,874,544,1201,2877,2466,3179,765,1052,972,601,298,360,212,364,159,116,15,20,24,26,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,2614000,3974000,3046000,3793000,4171000,3475645,3903807,3470000,3364750,4237460,4816560,4781540,5004535,6131587,4488000,4740000,5274163,6610000,7168000,8470000,8710000,10320000,10800000,14970000,12046000,13911000,11940000,11720000,14033000,14033000,14362419,14093267,12890070,13314154,14309981,16071178,15018248,15449029,14866478,16703526,11580107,15972556,14281852,15473000,14863000,14755222,13220620,17227051,14075596,14877835,15257083,13261000,11921304,16606009,16444000,14383000,14837000,13555000,16225000,9658000,13988000
United Republic of Tanzania,6100,17578,24514,27099,33019,38270,35099,44000,41000,57000,60000,88000,85000,82000,69000,64000,55000,70000,87000,90000,95000,58000,74000,83000,72000,71640,72000,76000,97000,106000,84000,64000,59000,59000,75300,83600,78500,111500,82400,32700,89000,77000,74000,67000,102000,110000,82800,43360,82370,62370,112658,108887,103973,167000,72483,76000,50467,56651,63388,77276,70000
United States of America,33539008,29718000,31211888,34928000,35805008,35513856,41030784,42365376,39263952,36784000,44052800,42081632,46560784,48496688,57886448,58481200,55671056,48322656,58080576,64799504,75806304,75251296,65857904,70618000,65975008,56897008,57361808,49320000,55428000,74294000,53890000,67136000,65222000,63168000,59404000,61982000,67536000,69327000,62567284,60639376,52999932,43703968,63803256,58697040,57241992,49216040,55820360,68016096,60365728,60062408,54418808,61677384,58104610,55147120,55839540,62831507,47379810,51305540,52580890,49751180,44790360
Uruguay,371536,452089,236540,645816,619905,328760,143776,469790,446882,388328,301599,186543,296844,526499,455662,504938,173235,174269,435281,306577,387768,363144,418723,348861,246143,231730,307824,413575,542378,417400,188300,342300,343900,486900,392900,649700,504800,559200,383900,324400,143600,270000,205800,326000,532600,454100,611200,697143,1356600,1844416,1300700,2016300,982000,1532796,1076000,1191000,757000,440000,727600,776300,936400
USSR,62494000,66530000,46700000,69935008,56105008,94469008,72774000,87789008,75122000,93750000,92834000,80833008,103196000,78878000,62250000,91086000,86668000,113552000,84886000,92500000,76650000,79757008,73748000,64960000,73200000,86573008,77331008,78826000,87162000,101888496,71991008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042400,947400,1452100,2494100,2741800,3229200,3719400,3757100,3684200,3843500,5183000,5625600,5507600,6057200,6099300,6190300,6147100,6639800,6745000,6526955,6612200,6841977,6955976,6964664,6934876,6079164,5410760,6093462,6157844,5984756
Venezuela (Bolivarian Republic of),1228,622,1105,1200,1308,1427,1555,821,486,510,609,639,682,627,532,560,558,571,415,437,420,347,303,291,314,297,306,319,302,310,310,310,310,310,517,517,517,517,517,517,585,54,152,264,517,220,213,230,143,183,204,218,161,161,179,139.5,584.44,1151,831,662.81,550.84
Yemen,34000,35000,37000,41500,44600,43900,46300,41000,35940,38500,51700,45000,76070,101984,88134,85674,88332,59000,88000,73000,84581,82384,50162,52252,73000,95462,112527,142452,162572,154937,99913,152170,159707,171033,170929,144926,129175,167058,139563,141884,152742,131733,103794,103265,112963,149173,218520,170446,222129,265432,232339,250264,232190,192215,124940,95917,95651,92210,100332,130000,125000
Yugoslav SFR,3174000,3514000,4143000,3703000,3462000,4603000,4823000,4363000,4882000,3792000,5605000,4844000,4751000,6283000,4403800,5979300,5595100,5355000,4512400,5091000,4270000,5218200,5525000,5595000,4858535,4776213,5345000,6300470,5598583,6358604,6599700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,608,934,717,214,214,81,199,200,220,101,100,99,100,1284,3487,3948,5324,5341,6528,9765,11835,14130,10936,13221,17156,17998,27668,37123,46610,55011,65236,54490,69286,60944,38019,57595,70810,63925,69226,75000,80000,75000,135000,82858,136833,93958,115843,113242,195456,172256,237332,253522,273584,201504,214230,159533,193713.15,114462.73,151850.47,191619.8,205881.95
Zimbabwe,807,1216,1869,3865,3810,8878,14051,26222,38938,54127,87184,82037,83921,97383,121083,141433,164540,203052,161963,191234,183516,191880,124250,99000,207200,248346,214548,256910,283835,325983,259213,57000,277000,288000,70000,263134,254772,242121,260909,229775,197526,195000,122427,247048,229089,241924,149110,31000,12000,18000,23000,53231.78,50966.05,40000,45302,42008,38715,45000,94685,212530,337212